size,sizeNext,surv,days,id
2.432,4.672,1,3,temp
4.672,98.528,1,3,temp
98.528,14.376,1,3,temp
14.376,18.04,1,3,temp
18.04,83.68,1,3,temp
83.68,27.216,1,3,temp
27.216,1.432,1,3,temp
1.432,132.072,1,3,temp
132.072,9.36,1,3,temp
9.36,14.744,1,3,temp
14.744,41.4,1,3,temp
41.4,8.208,1,3,temp
8.208,2.76,1,3,temp
2.76,1826.432,1,3,temp
1826.432,92.824,1,3,temp
92.824,22.168,1,3,temp
22.168,1137.736,1,3,temp
1137.736,29.968,1,3,temp
29.968,1337.64,1,3,temp
1337.64,1355.728,1,3,temp
1355.728,3082.304,1,3,temp
3082.304,292.016,1,3,temp
0.0,15.112,1,3,temp
15.112,0.0,1,3,temp
0.0,21.28,1,3,temp
21.28,2.752,1,3,temp
2.752,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.528,1,3,temp
0.528,1.28,1,3,temp
1.28,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,42.496,1,3,temp
42.496,16.96,1,3,temp
16.96,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,53.448,1,3,temp
53.448,2.8,1,3,temp
2.8,52.152,1,3,temp
52.152,34.88,1,3,temp
34.88,0.0,1,3,temp
0.0,23.4,1,3,temp
23.4,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.624,1,3,temp
0.624,5.56,1,3,temp
5.56,4.528,1,3,temp
4.528,99.736,1,3,temp
99.736,37.504,1,3,temp
37.504,27.384,1,3,temp
27.384,0.0,1,3,temp
0.0,8.32,1,3,temp
8.32,5.944,1,3,temp
5.944,76.376,1,3,temp
76.376,6.792,1,3,temp
6.792,50.24,1,3,temp
50.24,143.176,1,3,temp
143.176,285.696,1,3,temp
285.696,332.472,1,3,temp
332.472,26.968,1,3,temp
26.968,163.704,1,3,temp
163.704,260.128,1,3,temp
260.128,287.24,1,3,temp
287.24,3.12,1,3,temp
3.12,103.512,1,3,temp
103.512,5385.48,1,3,temp
5385.48,4147.16,1,3,temp
4147.16,815.216,1,3,temp
815.216,7311.336,1,3,temp
7311.336,14238.224,1,3,temp
14238.224,14717.336,1,3,temp
14717.336,26468.944,1,3,temp
26468.944,10242.272,1,3,temp
10242.272,14366.4,1,3,temp
0.0,4.384,1,3,temp
4.384,95.912,1,3,temp
95.912,108.92,1,3,temp
108.92,512.6,1,3,temp
512.6,13573.744,1,3,temp
13573.744,58372.584,1,3,temp
58372.584,10995.12,1,3,temp
10995.12,6111.744,1,3,temp
6111.744,19869.44,1,3,temp
19869.44,17237.272,1,3,temp
17237.272,41941.12,1,3,temp
41941.12,77323.072,1,3,temp
77323.072,40874.52,1,3,temp
40874.52,7579.352,1,3,temp
7579.352,,0,3,temp
0.0,4.352,1,3,temp
4.352,23.232,1,3,temp
23.232,65.8,1,3,temp
65.8,72.032,1,3,temp
72.032,330.92,1,3,temp
330.92,264.704,1,3,temp
264.704,4931.576,1,3,temp
4931.576,2907.108,1,3,temp
2907.108,24976.784,1,3,temp
24976.784,31885.344,1,3,temp
31885.344,30276.496,1,3,temp
30276.496,,0,3,temp
0.0,24.864,1,3,temp
24.864,34.296,1,3,temp
34.296,78.112,1,3,temp
78.112,802.328,1,3,temp
802.328,3146.712,1,3,temp
3146.712,52929.52,1,3,temp
52929.52,11988.776,1,3,temp
11988.776,6516.076,1,3,temp
6516.076,25566.84,1,3,temp
25566.84,12193.24,1,3,temp
12193.24,83073.888,1,3,temp
83073.888,41871.464,1,3,temp
41871.464,37329.784,1,3,temp
37329.784,,0,3,temp
0.0,1.852,1,3,temp
1.852,1.624,1,3,temp
1.624,719.352,1,3,temp
719.352,613.496,1,3,temp
613.496,23459.768,1,3,temp
23459.768,59698.112,1,3,temp
59698.112,17565.584,1,3,temp
17565.584,3348.3,1,3,temp
3348.3,26670.92,1,3,temp
26670.92,59257.336,1,3,temp
59257.336,11123.448,1,3,temp
11123.448,37466.944,1,3,temp
37466.944,9296.648,1,3,temp
9296.648,7500.984,1,3,temp
7500.984,7415.416,1,3,temp
7415.416,469.648,1,3,temp
469.648,71.176,1,3,temp
71.176,335.48,1,3,temp
335.48,268.912,1,3,temp
268.912,80.0,1,3,temp
80.0,5.688,1,3,temp
5.688,2699.896,1,3,temp
2699.896,14.2,1,3,temp
14.2,311.896,1,3,temp
311.896,23631.0,1,3,temp
23631.0,197.92,1,3,temp
197.92,7069.84,1,3,temp
7069.84,55112.736,1,3,temp
55112.736,33069.184,1,3,temp
33069.184,72009.088,1,3,temp
72009.088,41167.432,1,3,temp
41167.432,28098.928,1,3,temp
28098.928,102210.304,1,3,temp
102210.304,515365.272,1,3,temp
515365.272,,0,3,temp
0.0,0.0,1,3,temp
0.0,3.464,1,3,temp
3.464,69.104,1,3,temp
69.104,57.792,1,3,temp
57.792,30.96,1,3,temp
30.96,2418.536,1,3,temp
2418.536,1311.528,1,3,temp
1311.528,856.032,1,3,temp
856.032,13623.8,1,3,temp
13623.8,10627.32,1,3,temp
10627.32,4592.768,1,3,temp
4592.768,31806.344,1,3,temp
31806.344,5069.856,1,3,temp
5069.856,5483.192,1,3,temp
5483.192,3295.584,1,3,temp
3295.584,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,210.256,1,3,temp
210.256,240.424,1,3,temp
240.424,90.704,1,3,temp
90.704,123.36,1,3,temp
123.36,140.352,1,3,temp
140.352,27.64,1,3,temp
27.64,200.944,1,3,temp
200.944,62.736,1,3,temp
62.736,282.024,1,3,temp
282.024,197.896,1,3,temp
197.896,121.44,1,3,temp
121.44,217.44,1,3,temp
217.44,87.944,1,3,temp
87.944,74.144,1,3,temp
74.144,320.816,1,3,temp
320.816,1581.912,1,3,temp
1581.912,197.52,1,3,temp
197.52,191.224,1,3,temp
191.224,376.248,1,3,temp
376.248,127.528,1,3,temp
127.528,597.312,1,3,temp
597.312,0.0,1,3,temp
0.0,1.96,1,3,temp
1.96,1.336,1,3,temp
