size,sizeNext,time,individual,temp,surv,stage
2832.432,,3,F26_4,26,0,adult
0.0,0.0,8,F26_5,26,1,adult
0.0,0.664,3,F26_5,26,1,adult
0.664,0.0,3,F26_5,26,1,adult
0.0,9.088,3,F26_5,26,1,adult
9.088,38.696,3,F26_5,26,1,adult
38.696,408.672,3,F26_5,26,1,adult
408.672,868.048,3,F26_5,26,1,adult
868.048,928.176,3,F26_5,26,1,adult
928.176,684.2,3,F26_5,26,1,adult
684.2,840.448,3,F26_5,26,1,adult
840.448,10.936,3,F26_5,26,1,adult
10.936,4.672,3,F26_5,26,1,adult
4.672,16.048,3,F26_5,26,1,adult
16.048,0.0,3,F26_5,26,1,adult
0.0,0.0,3,F26_5,26,1,adult
0.0,,3,F26_5,26,0,adult
